F	w1versuch3	w1	sigma	hsigma		tau	h_tau
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.20	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.30	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.40	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.50	28.05						
35.00	27.60	28.05						
35.00	27.50	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.00	27.60	28.05						
35.10	27.60	28.13						
35.40	27.80	28.37						
35.60	27.90	28.53						
35.90	28.10	28.77						
36.10	28.30	28.93						
36.40	28.40	29.17						
36.60	28.60	29.33						
36.90	28.70	29.57						
37.10	28.90	29.73						
37.40	29.00	29.97						
37.60	29.20	30.13						
37.90	29.40	30.37						
38.10	29.60	30.53						
38.40	29.70	30.77						
38.60	29.90	30.93						
38.90	30.10	31.17						
39.10	30.20	31.34						
39.40	30.40	31.58						
39.60	30.60	31.74						
39.90	30.70	31.98						
40.10	30.90	32.14						
40.40	31.10	32.38						
40.60	31.30	32.54						
40.90	31.40	32.78						
41.10	31.60	32.94						
41.30	31.70	33.10						
41.60	31.90	33.34						
41.90	32.10	33.58						
42.10	32.30	33.74						
42.30	32.50	33.90						
42.60	32.60	34.14						
42.80	32.80	34.30						
43.10	33.00	34.54						
43.30	33.10	34.70						
43.60	33.30	34.94						
43.80	33.50	35.10						
44.10	33.70	35.34						
44.30	33.80	35.50						
44.60	34.10	35.74						
44.80	34.30	35.90						
45.10	34.40	36.14						
45.30	34.60	36.30						
45.50	34.80	36.46						
45.80	35.00	36.70						
46.10	35.10	36.95						
46.30	35.40	37.11						
46.50	35.50	37.27						
46.80	35.70	37.51						
47.00	35.90	37.67						
47.30	36.10	37.91						
47.50	36.20	38.07						
47.80	36.50	38.31						
48.00	36.70	38.47						
48.30	36.80	38.71						
48.50	37.10	38.87						
48.80	37.20	39.11						
49.00	37.40	39.27						
49.30	37.60	39.51						
49.50	37.80	39.67						
49.80	38.00	39.91						
50.00	38.20	40.07						
50.30	38.40	40.31						
50.50	38.60	40.47						
50.80	38.90	40.71						
51.00	39.00	40.87						
51.30	39.20	41.11						
51.50	39.40	41.27						
51.80	39.60	41.51						
52.00	39.80	41.67						
52.20	40.00	41.83						
52.50	40.20	42.07						
52.80	40.50	42.31						
53.00	40.70	42.47						
53.30	40.90	42.72						
53.50	41.10	42.88						
53.80	41.40	43.12						
54.00	41.60	43.28						
54.30	41.80	43.52						
54.50	42.00	43.68						
54.80	42.20	43.92						
55.00	42.50	44.08						
55.20	42.70	44.24						
55.50	42.90	44.48						
55.80	43.20	44.72						
56.00	43.50	44.88						
56.20	43.70	45.04						
56.50	44.00	45.28						
56.80	44.30	45.52						
57.00	44.50	45.68						
57.20	44.80	45.84						
57.40	45.10	46.00						
57.70	45.50	46.24						
58.00	45.90	46.48						
58.20	46.20	46.64						
58.40	46.80	46.80						
58.70	47.40	47.04						
58.90	48.20	47.20						
59.00	49.50	47.28						
